album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
,0.5115999999999999,0.8398,-7.3468,0.07491,0.032834999999999996,0.3857391,0.1275,132.9264
! ! ! ! ! Whispers ! ! ! ! !,0.0,2.01e-05,-25.162,0.0,0.0,0.977,0.0,122.979
! ! ! ! 300 Sounds of the Ocean ! ! ! !,0.177,0.986,-17.508,0.0673,0.69,0.995,0.00749,100.348
! ! % > ) < % ! !,0.179,0.0165,-23.857,0.169,0.601,0.998,0.0344,156.269
"! !""#Reboot#""! !",0.161,0.962,-21.869,0.0819,0.726,0.49,0.00655,129.087
"!!!"" Baby Sleep Aid Rain Sounds ""!!!",0.209,0.432,-33.219,0.079,0.000688,0.969,0.298,117.294
"!!"" White Noise 10 Hours ""!!",0.0874,2.03e-05,-15.87,0.157,0.12,0.00206,0.0,86.782
!!Puro Macanazo!!,0.824,0.696,-6.716,0.0774,0.188,0.0,0.818,135.044
!I'll Be Back!,0.823,0.612,-7.767,0.248,0.168,0.0,0.688,142.959
""" ! + restful + ! """,0.243,0.963,-16.015,0.0766,0.996,0.953,0.0354,76.909
"""1""",0.668,0.361,-9.71,0.0353,0.795,0.0,0.432,73.919
"""4""",0.6073333333333334,0.6980000000000001,-6.906,0.047066666666666666,0.03765333333333334,0.02476666666666667,0.6603333333333333,124.735
"""A Divina Comédia Ou Ando Meio Desligado""",0.572,0.53,-5.732,0.0265,0.415,0.0,0.555,111.127
"""Attack on Titan"" Season 3 Original Soundtrack",0.44139999999999996,0.6294,-7.202799999999999,0.047170000000000004,0.17253000000000002,0.25846856,0.22485,109.91159999999999
"""Fairy Tail"" Original Soundtrack Vol.1",0.361,0.77375,-5.147,0.041875,0.0159115325,0.75825,0.23199999999999998,106.277
"""Fairy Tail"" Original Soundtrack Vol.3",0.393,0.896,-4.857,0.0817,0.00451,0.79,0.353,145.008
"""Forever King""",0.776,0.6765,-7.5865,0.03475,0.39449999999999996,1.685e-06,0.9035,105.979
"""GIGS"" CASE OF BOφWY COMPLETE",0.29438461538461536,0.982,-3.1439230769230773,0.12519230769230769,0.015139999999999999,0.010362615384615385,0.35300000000000004,144.26715384615383
"""GIGS"" JUST A HERO TOUR 1986",0.296,0.983,-4.822,0.0598,0.0432,0.00213,0.456,177.613
"""GIGS"" JUST A HERO TOUR 1986 NAKED",0.325,0.9796666666666667,-4.101333333333334,0.1154,0.01618,0.15799333333333335,0.2816666666666667,123.61133333333333
"""I Could Go Anywhere But Again I Go With You""",0.422,0.436,-10.828,0.161,0.0344,0.862,0.492,94.416
"""I Liked His Old Stuff Better""",0.6281,0.6974,-6.1833,0.9295,0.7211000000000001,0.0,0.5346,105.74539999999999
"""Jardim Eletrico""",0.6275,0.663,-6.5344999999999995,0.192,0.31155,0.0276,0.6685,136.239
"""LED Spirals""  [From ""John Wick""]",0.931,0.584,-6.013,0.0777,0.0116,0.43,0.307,119.992
"""Let's Rock""",0.606,0.679,-7.445,0.0321,0.0151,0.000433,0.707,122.016
"""Mutantes E Seus Cometas No Pais Do Baurets""",0.341,0.415,-9.192,0.0305,0.752,0.000732,0.273,154.849
"""Mutantes""",0.3255,0.7415,-4.7265,0.12380000000000001,0.692,0.00905,0.45399999999999996,122.6535
"""Strings and Stories of a Troubadour"", Live in Odeon, Vienna 2011",0.233,0.825,-10.095,0.0415,0.68,0.946,0.552,89.01
"""Sus Grandes Exitos""",0.402,0.244,-10.692,0.0386,0.912,0.0,0.532,113.956
"""Was He Slow?""",0.754,0.719,-5.806,0.371,0.373,0.259,0.674,175.99
